"###CPU-memory-bandwidth-and-sessions-rate-chart###"
"ID","epoch_time","% CPU","% Memory","setuprate","totalsession","bandwidth"
" 1 ","2025-01-06 02:25:29","40","35","0","1","0/0"
" 2 ","2025-01-06 02:30:26","0","49","0","7","1/0"
" 3 ","2025-01-06 02:35:26","0","49","1","8","2/1"
" 4 ","2025-01-06 02:40:26","0","52","2","118","28/24"
" 5 ","2025-01-06 02:45:26","0","51","0","14","30/29"
" 6 ","2025-01-06 02:50:26","0","51","0","14","30/28"
" 7 ","2025-01-06 02:55:26","0","51","0","10","30/28"
" 8 ","2025-01-06 03:00:26","0","51","1","10","30/28"
" 9 ","2025-01-06 03:05:26","0","51","2","10","30/28"
" 10 ","2025-01-06 03:10:26","0","51","2","10","30/28"
" 11 ","2025-01-06 03:15:26","0","51","0","12","27/25"
" 12 ","2025-01-06 03:20:26","0","51","0","9","30/28"
" 13 ","2025-01-06 03:25:26","0","51","0","9","30/28"
" 14 ","2025-01-06 03:30:27","0","51","0","9","31/29"
" 15 ","2025-01-06 03:35:27","0","51","0","8","2/2"
" 16 ","2025-01-06 03:40:27","0","51","0","12","5/4"
" 17 ","2025-01-06 03:45:27","0","51","0","10","36/27"
" 18 ","2025-01-06 03:50:26","0","51","0","12","7/6"
" 19 ","2025-01-06 03:55:26","0","51","0","89","5/4"
" 20 ","2025-01-06 04:00:26","0","51","4","10","31/29"
" 21 ","2025-01-06 04:05:26","0","51","1","8","12/11"
" 22 ","2025-01-06 04:10:26","0","51","0","9","27/25"
" 23 ","2025-01-06 04:15:26","0","51","0","13","2/2"
" 24 ","2025-01-06 04:20:26","0","51","0","7","3/2"
" 25 ","2025-01-06 04:25:26","0","51","0","8","21/20"
" 26 ","2025-01-06 04:30:26","0","51","0","9","31/29"
" 27 ","2025-01-06 04:35:26","0","51","0","10","3/2"
" 28 ","2025-01-06 04:40:26","0","51","0","11","2/2"
" 29 ","2025-01-06 04:45:26","0","51","0","7","2/2"
" 30 ","2025-01-06 04:50:26","0","51","0","13","32/29"
" 31 ","2025-01-06 04:55:26","0","51","2","78","31/29"
" 32 ","2025-01-06 05:00:26","0","51","0","7","3/2"
" 33 ","2025-01-06 05:05:26","0","51","0","9","22/20"
" 34 ","2025-01-06 05:10:26","0","51","1","9","25/20"
" 35 ","2025-01-06 05:15:26","0","51","1","14","30/28"
" 36 ","2025-01-06 05:20:26","0","51","1","7","0/0"
" 37 ","2025-01-06 05:25:26","0","51","1","7","0/0"
" 38 ","2025-01-06 05:30:27","0","51","1","6","0/0"
" 39 ","2025-01-06 05:35:26","0","51","1","6","0/0"
" 40 ","2025-01-06 05:40:26","0","51","1","9","0/0"
" 41 ","2025-01-06 05:45:26","0","51","1","6","0/0"
" 42 ","2025-01-06 05:50:26","0","51","1","8","0/0"
" 43 ","2025-01-06 05:55:27","0","51","1","6","0/0"
" 44 ","2025-01-06 06:00:26","0","51","1","6","0/0"
" 45 ","2025-01-06 06:05:26","0","51","1","8","0/0"
" 46 ","2025-01-06 06:10:26","0","51","1","4","0/0"
" 47 ","2025-01-06 06:15:26","0","51","1","9","0/0"
" 48 ","2025-01-06 06:20:27","0","51","1","4","0/0"
" 49 ","2025-01-06 06:25:26","0","51","1","5","2/1"
" 50 ","2025-01-06 06:30:26","0","51","0","3","0/1"
" 51 ","2025-01-06 06:35:26","0","51","0","4","0/0"
" 52 ","2025-01-06 06:40:27","0","51","0","8","1/0"
" 53 ","2025-01-06 06:45:26","0","51","0","3","1/0"
" 54 ","2025-01-06 06:50:26","0","52","0","7","1/1"
" 55 ","2025-01-06 06:55:26","0","51","0","3","0/1"
" 56 ","2025-01-06 07:00:26","0","51","2","86","32/29"
" 57 ","2025-01-06 07:05:27","0","51","0","7","19/17"
" 58 ","2025-01-06 07:10:27","0","52","0","7","25/24"
" 59 ","2025-01-06 07:15:27","0","51","0","9","4/4"
" 60 ","2025-01-06 07:20:25","0","51","0","8","4/2"
" 61 ","2025-01-06 07:25:26","0","51","0","9","3/2"
" 62 ","2025-01-06 07:30:26","0","51","0","7","23/20"
" 63 ","2025-01-06 07:35:26","0","51","0","9","33/30"
" 64 ","2025-01-06 07:40:26","0","51","0","11","6/4"
" 65 ","2025-01-06 07:45:26","0","51","0","7","5/2"
" 66 ","2025-01-06 07:50:26","0","51","0","10","5/3"
" 67 ","2025-01-06 07:55:26","0","51","0","8","5/3"
" 68 ","2025-01-06 08:00:26","0","51","0","8","4/2"
" 69 ","2025-01-06 08:05:26","0","51","0","9","3/2"
" 70 ","2025-01-06 08:10:26","0","51","0","8","6/4"
" 71 ","2025-01-06 08:15:27","0","51","0","92","3/2"
" 72 ","2025-01-06 08:20:27","0","51","0","7","28/25"
" 73 ","2025-01-06 08:25:27","0","51","1","10","73/70"
" 74 ","2025-01-06 08:30:27","0","51","0","8","27/25"
" 75 ","2025-01-06 08:35:26","0","51","0","10","26/25"
" 76 ","2025-01-06 08:40:27","0","51","1","13","26/25"
" 77 ","2025-01-06 08:45:27","0","52","0","5","0/0"
" 78 ","2025-01-06 08:50:26","0","51","0","9","0/0"
" 79 ","2025-01-06 08:55:26","0","52","0","7","2/2"
" 80 ","2025-01-06 08:57:58","41","35","0","1","0/0"
" 81 ","2025-01-06 09:02:55","0","51","0","9","32/27"
" 82 ","2025-01-06 09:07:55","0","50","2","10","32/29"
" 83 ","2025-01-06 09:12:55","0","50","0","11","46/28"
" 84 ","2025-01-06 09:17:55","0","50","0","11","45/27"
" 85 ","2025-01-06 09:22:55","0","50","0","14","44/27"
" 86 ","2025-01-06 09:27:55","0","50","0","11","44/28"
" 87 ","2025-01-06 09:32:55","0","50","0","9","44/27"
" 88 ","2025-01-06 09:37:56","1","51","0","9","19/4"
" 89 ","2025-01-06 09:42:56","0","50","0","8","20/5"
" 90 ","2025-01-06 09:47:56","0","50","0","13","20/5"
" 91 ","2025-01-06 09:52:56","0","51","0","7","19/4"
" 92 ","2025-01-06 09:57:56","0","51","0","7","19/4"
" 93 ","2025-01-06 10:02:55","0","51","0","7","3922/3861"
" 94 ","2025-01-06 10:07:55","0","51","0","5","6/1"
" 95 ","2025-01-06 10:12:56","0","50","0","9","0/0"
